"indic","qdesc","sdesc","who_2016","ilab","subst","samb","dontask1","dontask2","dontask3","dontask4","dontask5","dontask6","dontask7","dontask8","doaskif","nnonly","a_nrp","a_pend_6w","a_preg","b_0101","b_0102","b_0103","b_0104","b_0105","b_0106","b_0107","b_0108","b_0109","b_0110","b_0111","b_0112","b_0199","b_0201","b_0202","b_0203","b_0204","b_0205","b_0299","b_0301","b_0302","b_0303","b_0401","b_0402","b_0403","b_0499","b_0501","b_0502","b_0601","b_0602","b_0701","b_0801","b_0901","b_0902","b_0903","b_0904","b_0905","b_0906","b_0907","b_0908","b_0999","b_1001","b_1002","b_1003","b_1004","b_1006","b_1099","b_1101","b_1102","b_1201","b_1202","b_1203","b_1204","b_1205","b_1206","b_1207","b_1208","b_1209","b_1210","b_1299","b_9800","c_cult","c_emer","c_hsys","c_inev","c_know","c_resr"
"","[UNCONDITIONAL PRIOR]","probbase v19 20210720","","","","","","","","","","","","","","","A+","A-","A-","C+","C+","B","C","E","D-","C","D","B-","D","E","D-","D","C","C","C","C","C","C","C","C+","B-","B+","B","E","B+","B-","C","C-","C","C+","B-","D","C-","C-","C-","D","D","D","E","C","C","B-","C","C","C+","B+","C","C-","B","C","C+","C+","C+","C+","C+","B","B","C","B","B-","A-","A-","A-","A-","A-","A-"
"i004a","Did s(he) die during the wet season?","d wet","W610004-a","W610004-a (d wet)","Y","B","i004bY","","","","","","","","","","A","A","A","A-","A-","A","A-","A+","A-","B","A-","A-","A","A-","A+","A-","A","A","A","A","A","A","A-","A","A-","A-","A-","A","A-","A","A","A-","A-","A-","A-","A","A","A","A","A","A","A","A","A","A","A","A-","A-","A-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A-","A","A","A","A","A","A"
"i004b","Did s(he) die during the dry season?","d dry","W610004-b","W610004-b (d dry)","Y","B","i004aY","","","","","","","","","","A","A","A","A","A","A","A","B","A","A","A","A","A","A","A-","A","A","A","A","A","A","A","A","A-","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A-","A","A","A-","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
"i019a","Was he male?","male","W610019-a","W610019-a (male)","Y","S","i019bY","","","","","","","","","","N","N","N","A","A","A","A","A","A","A","A","A+","A","A","A","A","A+","A+","A+","N","A-","A","A","A","A","A+","A","A","A","A+","A","A","A+","A","A","N","N","N","N","N","N","N","N","N","A","A","A","A","A","A","A","A","A+","A+","A","A+","A","A","A","A","A+","A","A","A","A","A","A","A","A","A"
"i019b","Was she female?","female","W610019-b","W610019-b (female)","Y","S","i019aY","","","","","","","","","","I","I","I","A","A","A","A","A","A","A","A","A-","A","A","A","A","A","A","A-","I","A+","A","A","A","A","A","A","A","A","A","A","A","A-","A","A","I","I","I","I","I","I","I","I","I","A","A","A","A","A","A","A","A","A-","A-","A","A-","A","A","A","A","A-","A","A","A","A","A","A","A","A","A"
"i022a","Was s(he) aged 65 years or more at death?","65+","W610022-a","W610022-a (65+)","Y","A","i022gY","i022fY","i022dY","i022cY","i022bY","i022eY","","","","","N","N","N","A-","A-","C+","B","B+","D+","B+","B-","A-","N","E","D","A-","A-","A","A","A-","A+","A","A-","B+","A","A","A","C-","A+","A+","A-","A","A-","A","A-","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","B+","A-","A-","B","A-","A-","B+","B+","B","A-","A-","A","B","C","B","A+","B","C"
"i022b","Was s(he) aged 50 to 64 years at death?","50 to 64","W610022-b","W610022-b (50 to 64)","Y","A","i022gY","i022fY","i022dY","i022cY","i022aY","i022eY","","","","","N","N","N","B+","B+","A-","B","B","D+","B+","B-","A-","D-","D","D","A-","B-","A","A-","B-","A-","A-","B-","B","A-","A-","A-","C-","A-","A-","A-","A-","B","A-","A-","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","A-","B-","B-","B+","B-","B-","B+","A-","A-","B-","A-","A-","B","B","B","B+","B","B"
"i022c","Was s(he) aged 15 to 49 years at death?","15 to 49","W610022-c","W610022-c (15 to 49)","Y","A","i022gY","i022fY","i022dY","i022aY","i022bY","i022eY","","","","","A+","B","B","B","B","A","B","B","D+","A-","B","A","D","B+","C","A-","B","B","B","B","B","A-","B","B","B+","B","B","B-","B","C+","A-","A-","B","B+","A-","A+","A+","A+","A+","A+","A+","A+","A+","A+","N","N","N","N","C","N","N","N","A","B","B","A","B","B","A","A","A+","B","A","A-","B","B","B","C","C","B"
"i022d","Was s(he) aged 5-14 years at death?","5 to 14","W610022-d","W610022-d (5 to 14)","Y","A","i022gY","i022fY","i022cY","i022aY","i022eY","i022bY","","","","","A+","C","C","B","B","C","C","B+","A-","B","B+","B-","D","A","B+","A-","N","N","N","N","N","D","C+","B+","B-","D+","C","A-","C","D-","B","B","C+","B-","A-","C","C","C","C","C","C-","D","D","D","N","N","N","N","B-","N","N","N","B+","C+","C+","A-","C+","C+","B","B-","B-","C+","B+","C+","B","B+","B","D","B","C"
"i022e","Was s(he) aged 1 to 4 years at death?","1 to 4","W610022-e","W610022-e (1 to 4)","Y","A","i022gY","i022dY","i022cY","i022aY","i022fY","i022bY","","","","","N","N","N","B+","B+","C","A","A","A","B+","B+","C-","A+","B+","A","B","N","N","N","N","N","D","B+","A","B-","D","D","A","D+","N","B-","B","C+","B-","B-","N","N","N","N","N","N","N","N","N","N","N","N","N","B+","N","N","N","B-","B","B","B+","B","B","B-","N","C+","B","B","D","B-","A-","B","D","A-","D"
